Date,Open,High,Low,Close,Volume,Currency
2/11/2015,1234.1,1238.7,1216.5,1219.6,116275,USD
2/12/2015,1218.3,1232.8,1218,1220.7,109412,USD
2/13/2015,1223,1234.9,1222.5,1227.1,96371,USD
2/16/2015,1227.5,1236.7,1203.3,1208.6,181844,USD
2/18/2015,1209.3,1213.4,1197.2,1200.2,121125,USD
2/19/2015,1212.5,1222.9,1205.2,1207.6,115723,USD
2/20/2015,1208,1215.3,1197.7,1204.9,109248,USD
2/23/2015,1203.5,1210.3,1190.6,1200.8,115219,USD
2/24/2015,1201.9,1204.4,1190,1197.3,116610,USD
2/25/2015,1200.8,1211.7,1200.7,1201.5,106078,USD
2/26/2015,1203.9,1219.9,1203.4,1210.1,137276,USD
2/27/2015,1208.8,1219.2,1204.1,1213.1,113768,USD
3/2/2015,1213.8,1223,1204.2,1208.2,133100,USD
3/3/2015,1206.1,1214.4,1194.6,1204.4,155655,USD
3/4/2015,1203.8,1208.4,1197.7,1200.9,107563,USD
3/5/2015,1200.2,1208.9,1195.8,1196.2,131863,USD
3/6/2015,1197.5,1200,1162.9,1164.3,214797,USD
3/9/2015,1169.6,1174.4,1164.8,1166.5,123613,USD
3/10/2015,1165.6,1169.6,1153.8,1160.1,178084,USD
3/11/2015,1161.1,1164.3,1146.5,1150.6,161561,USD
3/12/2015,1153.7,1165.7,1147.5,1151.9,159536,USD
3/13/2015,1152.6,1160.9,1150.4,1152.4,122680,USD
3/16/2015,1157.9,1163.3,1149.3,1153.2,123258,USD
3/17/2015,1153.7,1159.3,1141.6,1148.2,159617,USD
3/18/2015,1148.1,1175.1,1144.9,1151.3,188480,USD
3/19/2015,1166.1,1177,1158.6,1169,157056,USD
3/20/2015,1170.4,1187.4,1167.9,1184.6,167531,USD
3/23/2015,1183.2,1191,1178.6,1187.7,162532,USD
3/24/2015,1188.5,1194.5,1184.7,1191.4,162922,USD
3/25/2015,1192.5,1199.3,1186.1,1197,185925,USD
3/26/2015,1195.4,1219.5,1193.8,1204.8,245373,USD
3/27/2015,1204.6,1206.6,1192.6,1200.7,134238,USD
3/30/2015,1198.6,1199.6,1182.2,1185.3,131446,USD
3/31/2015,1185.5,1190.6,1178.2,1183.2,114970,USD
4/1/2015,1183.2,1208.7,1180.5,1208.2,151135,USD
4/2/2015,1204.3,1207.4,1194.8,1200.9,115647,USD
4/6/2015,1212.6,1224.5,1212.6,1218.6,106008,USD
4/7/2015,1214.7,1215.9,1207.5,1210.6,85860,USD
4/8/2015,1208.7,1212.5,1197.4,1203.1,116317,USD
4/9/2015,1202.6,1203.3,1192.4,1193.6,110164,USD
4/10/2015,1193.8,1210.6,1192.9,1204.6,124843,USD
